url,title,mileage_listed,list_price_displayed,dealer_info
https://www.truecar.com/used-cars-for-sale/listing/WDBSK75F63F048885/2003-mercedes-benz-sl/?position=15&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2003 Mercedes-Benz SL 500,"48,644 miles","$12,995",Moto Zone Inc
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB5JF099738/2018-tesla-model-3/?position=16&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Tesla Model 3 Performance Dual Motor,"41,538 miles","$21,498",Napleton Cadillac Northbrook EV EV
https://www.truecar.com/used-cars-for-sale/listing/1C4JJXP60NW239511/2022-jeep-wrangler/?position=17&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Jeep Wrangler Unlimited Sahara High Altitude 4xe,"25,825 miles","$35,888",McGrath Arlington Kia PHEV PHEV
https://www.truecar.com/used-cars-for-sale/listing/1FTFW1EF3DFB48190/2013-ford-f-150/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2013 Ford F-150 XLT SuperCrew 6.5' Box 4WD,"176,892 miles","$7,994",Audi Exchange St. Charles
https://www.truecar.com/used-cars-for-sale/listing/1C4JJXP60NW279832/2022-jeep-wrangler/?position=19&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Jeep Wrangler Unlimited Sahara 4xe,"39,320 miles","$29,390",Bettenhausen Chrysler Dodge Jeep Ram of Lockport PHEV PHEV
https://www.truecar.com/used-cars-for-sale/listing/1G1ZB5ST5KF114445/2019-chevrolet-malibu/?position=20&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2019 Chevrolet Malibu LS with 1LS,"83,732 miles","$10,990",Auto Gallery Chicago
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1CG3NR226365/2022-chrysler-voyager/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Chrysler Voyager LX FWD,"50,331 miles","$18,995",Napleton's Arlington Heights Chrysler Dodge Jeep Ram
https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L39JG233961/2018-kia-optima/?position=22&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Kia Optima LX,"90,660 miles","$9,995",Highend Motors
https://www.truecar.com/used-cars-for-sale/listing/1FADP3R44GL239683/2016-ford-focus-electric/?position=23&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&zipcode=60162,Used 2016 Ford Focus Electric Electric Hatchback,"8,912 miles","$13,998",CarMax Schaumburg EV EV
https://www.truecar.com/used-cars-for-sale/listing/1VWBT7A39FC092232/2015-volkswagen-passat/?position=24&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2015 Volkswagen Passat 1.8T Sport Manual (PZEV),"72,868 miles","$11,995",Moto Zone Inc
https://www.truecar.com/used-cars-for-sale/listing/1FMSK8DH8NGA22999/2022-ford-explorer/?position=25&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Ford Explorer XLT 4WD,"110,071 miles","$20,728",Napleton Honda of Morton Grove
https://www.truecar.com/used-cars-for-sale/listing/ML32F3FJ6JHF00858/2018-mitsubishi-mirage/?position=26&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Mitsubishi Mirage G4 ES Sedan CVT,"85,184 miles","$6,550",Chicago Fine Motors
https://www.truecar.com/used-cars-for-sale/listing/1FTFW1E89MFA65350/2021-ford-f-150/?position=27&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2021 Ford F-150 XLT SuperCrew 5.5' Box 4WD,"33,488 miles","$29,995",Highend Motors
https://www.truecar.com/used-cars-for-sale/listing/3FMCR9D99NRD06097/2022-ford-bronco-sport/?position=28&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Ford Bronco Sport Badlands,"33,911 miles","$27,000",Roesch Ford
https://www.truecar.com/used-cars-for-sale/listing/3N1BC1CP4CK240604/2012-nissan-versa/?position=29&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2012 Nissan Versa 1.8 S Hatchback Manual,"113,473 miles","$4,777",Revved Motors
https://www.truecar.com/used-cars-for-sale/listing/WBA7U2C09MCF45239/2021-bmw-7-series/?position=30&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2021 BMW 750i xDrive,"31,560 miles","$47,795",Woodfield Lexus
https://www.truecar.com/used-cars-for-sale/listing/2HGFG11609H539808/2009-honda-civic/?position=31&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2009 Honda Civic LX Coupe Manual,"50,579 miles","$8,941",McGrath Evanston Subaru
https://www.truecar.com/used-cars-for-sale/listing/WDDHF8JB2GB169019/2016-mercedes-benz-e-class/?position=32&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2016 Mercedes-Benz E 350 4MATIC Luxury Sedan,"97,118 miles","$12,895",Jidd Motors Mitsubishi
https://www.truecar.com/used-cars-for-sale/listing/1FTFW1EF3DFB48190/2013-ford-f-150/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&sponsored=true,Used 2013 Ford F-150 XLT SuperCrew 6.5' Box 4WD,"176,892 miles","$7,994",Audi Exchange St. Charles
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1CG3NR226365/2022-chrysler-voyager/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&sponsored=true,Used 2022 Chrysler Voyager LX FWD,"50,331 miles","$18,995",Napleton's Arlington Heights Chrysler Dodge Jeep Ram
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1CG8NR218813/2022-chrysler-voyager/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&sponsored=true,Used 2022 Chrysler Voyager LX FWD,"51,353 miles","$18,995",Napleton's Arlington Heights Chrysler Dodge Jeep Ram
https://www.truecar.com/used-cars-for-sale/listing/1FMCU9H6XNUB92764/2022-ford-escape/?position=3&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&zipcode=60162,Used 2022 Ford Escape SEL AWD,"7,152 miles","$21,998",CarMax Oak Lawn
https://www.truecar.com/used-cars-for-sale/listing/1FM5K8GC5NGB74459/2022-ford-explorer/?position=4&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Ford Explorer ST 4WD,"18,435 miles","$39,772",Old Orchard Nissan
https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E81FKD72131/2015-ford-f-150/?position=5&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2015 Ford F-150 XLT SuperCrew 5.5' Box 4WD,"70,696 miles","$18,975",Riverview Auto Brokers
https://www.truecar.com/used-cars-for-sale/listing/WDXPD944365947431/2006-dodge-sprinter-chassis-cab/?position=6&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,"Used 2006 Dodge Sprinter Chassis Cab 3500 158"" WB","154,957 miles","$9,995",Highend Motors
https://www.truecar.com/used-cars-for-sale/listing/5TDYK3DC2DS355077/2013-toyota-sienna/?position=7&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2013 Toyota Sienna XLE Auto Access Seat 7-Passenger FWD,"101,408 miles","$13,928",Napleton Honda of Morton Grove
https://www.truecar.com/used-cars-for-sale/listing/4T1BE32K94U356113/2004-toyota-camry/?position=8&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2004 Toyota Camry LE I4 Automatic,"247,769 miles","$2,483",Gregory Hyundai
https://www.truecar.com/used-cars-for-sale/listing/WDDDJ72X97A095069/2007-mercedes-benz-cls/?position=9&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2007 Mercedes-Benz CLS 550,"121,307 miles","$7,750",Zone Motors
https://www.truecar.com/used-cars-for-sale/listing/1FMCU9J91EUC65735/2014-ford-escape/?position=10&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2014 Ford Escape Titanium 4WD,"62,710 miles","$10,495",Napleton Lincoln of Schaumburg
https://www.truecar.com/used-cars-for-sale/listing/1C4RJXN67RW100729/2024-jeep-wrangler/?position=11&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2024 Jeep Wrangler Unlimited Willys 4xe,"24,256 miles","$38,994",Marino Chrysler Jeep Dodge CPO PHEV PHEV
https://www.truecar.com/used-cars-for-sale/listing/1C4RJYD65RC107042/2024-jeep-grand-cherokee/?position=12&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2024 Jeep Grand Cherokee Overland 4xe 4WD,"7,682 miles","$46,273",Heritage Cadillac PHEV PHEV
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB8JF064949/2018-tesla-model-3/?position=13&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Tesla Model 3 Performance Dual Motor,"28,403 miles","$22,939",Genesis of Highland Park EV EV
https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EB7JFD53757/2018-ford-f-150/?position=14&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Ford F-150 XLT SuperCrew 5.5' Box 4WD,"78,006 miles","$21,495",Exclusive Autohaus
https://www.truecar.com/used-cars-for-sale/listing/WDBSK75F63F048885/2003-mercedes-benz-sl/?position=15&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2003 Mercedes-Benz SL 500,"48,644 miles","$12,995",Moto Zone Inc
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB5JF099738/2018-tesla-model-3/?position=16&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Tesla Model 3 Performance Dual Motor,"41,538 miles","$21,498",Napleton Cadillac Northbrook EV EV
https://www.truecar.com/used-cars-for-sale/listing/1C4JJXP60NW239511/2022-jeep-wrangler/?position=17&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Jeep Wrangler Unlimited Sahara High Altitude 4xe,"25,825 miles","$35,888",McGrath Arlington Kia PHEV PHEV
https://www.truecar.com/used-cars-for-sale/listing/1FTFW1EF3DFB48190/2013-ford-f-150/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2013 Ford F-150 XLT SuperCrew 6.5' Box 4WD,"176,892 miles","$7,994",Audi Exchange St. Charles
https://www.truecar.com/used-cars-for-sale/listing/1C4JJXP60NW279832/2022-jeep-wrangler/?position=19&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Jeep Wrangler Unlimited Sahara 4xe,"39,320 miles","$29,390",Bettenhausen Chrysler Dodge Jeep Ram of Lockport PHEV PHEV
https://www.truecar.com/used-cars-for-sale/listing/1G1ZB5ST5KF114445/2019-chevrolet-malibu/?position=20&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2019 Chevrolet Malibu LS with 1LS,"83,732 miles","$10,990",Auto Gallery Chicago
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1CG3NR226365/2022-chrysler-voyager/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Chrysler Voyager LX FWD,"50,331 miles","$18,995",Napleton's Arlington Heights Chrysler Dodge Jeep Ram
https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L39JG233961/2018-kia-optima/?position=22&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Kia Optima LX,"90,660 miles","$9,995",Highend Motors
https://www.truecar.com/used-cars-for-sale/listing/1FADP3R44GL239683/2016-ford-focus-electric/?position=23&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&zipcode=60162,Used 2016 Ford Focus Electric Electric Hatchback,"8,912 miles","$13,998",CarMax Schaumburg EV EV
https://www.truecar.com/used-cars-for-sale/listing/1VWBT7A39FC092232/2015-volkswagen-passat/?position=24&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2015 Volkswagen Passat 1.8T Sport Manual (PZEV),"72,868 miles","$11,995",Moto Zone Inc
https://www.truecar.com/used-cars-for-sale/listing/1FMSK8DH8NGA22999/2022-ford-explorer/?position=25&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Ford Explorer XLT 4WD,"110,071 miles","$20,728",Napleton Honda of Morton Grove
https://www.truecar.com/used-cars-for-sale/listing/ML32F3FJ6JHF00858/2018-mitsubishi-mirage/?position=26&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Mitsubishi Mirage G4 ES Sedan CVT,"85,184 miles","$6,550",Chicago Fine Motors
https://www.truecar.com/used-cars-for-sale/listing/1FTFW1E89MFA65350/2021-ford-f-150/?position=27&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2021 Ford F-150 XLT SuperCrew 5.5' Box 4WD,"33,488 miles","$29,995",Highend Motors
https://www.truecar.com/used-cars-for-sale/listing/3FMCR9D99NRD06097/2022-ford-bronco-sport/?position=28&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Ford Bronco Sport Badlands,"33,911 miles","$27,000",Roesch Ford
https://www.truecar.com/used-cars-for-sale/listing/3N1BC1CP4CK240604/2012-nissan-versa/?position=29&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2012 Nissan Versa 1.8 S Hatchback Manual,"113,473 miles","$4,777",Revved Motors
https://www.truecar.com/used-cars-for-sale/listing/WBA7U2C09MCF45239/2021-bmw-7-series/?position=30&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2021 BMW 750i xDrive,"31,560 miles","$47,795",Woodfield Lexus
https://www.truecar.com/used-cars-for-sale/listing/2HGFG11609H539808/2009-honda-civic/?position=31&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2009 Honda Civic LX Coupe Manual,"50,579 miles","$8,941",McGrath Evanston Subaru
https://www.truecar.com/used-cars-for-sale/listing/WDDHF8JB2GB169019/2016-mercedes-benz-e-class/?position=32&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2016 Mercedes-Benz E 350 4MATIC Luxury Sedan,"97,118 miles","$12,895",Jidd Motors Mitsubishi
https://www.truecar.com/used-cars-for-sale/listing/1FTFW1EF3DFB48190/2013-ford-f-150/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&sponsored=true,Used 2013 Ford F-150 XLT SuperCrew 6.5' Box 4WD,"176,892 miles","$7,994",Audi Exchange St. Charles
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1CG3NR226365/2022-chrysler-voyager/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&sponsored=true,Used 2022 Chrysler Voyager LX FWD,"50,331 miles","$18,995",Napleton's Arlington Heights Chrysler Dodge Jeep Ram
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1CG8NR218813/2022-chrysler-voyager/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&sponsored=true,Used 2022 Chrysler Voyager LX FWD,"51,353 miles","$18,995",Napleton's Arlington Heights Chrysler Dodge Jeep Ram
https://www.truecar.com/used-cars-for-sale/listing/1FMCU9H6XNUB92764/2022-ford-escape/?position=3&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&zipcode=60162,Used 2022 Ford Escape SEL AWD,"7,152 miles","$21,998",CarMax Oak Lawn
https://www.truecar.com/used-cars-for-sale/listing/1FM5K8GC5NGB74459/2022-ford-explorer/?position=4&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Ford Explorer ST 4WD,"18,435 miles","$39,772",Old Orchard Nissan
https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E81FKD72131/2015-ford-f-150/?position=5&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2015 Ford F-150 XLT SuperCrew 5.5' Box 4WD,"70,696 miles","$18,975",Riverview Auto Brokers
https://www.truecar.com/used-cars-for-sale/listing/WDXPD944365947431/2006-dodge-sprinter-chassis-cab/?position=6&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,"Used 2006 Dodge Sprinter Chassis Cab 3500 158"" WB","154,957 miles","$9,995",Highend Motors
https://www.truecar.com/used-cars-for-sale/listing/5TDYK3DC2DS355077/2013-toyota-sienna/?position=7&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2013 Toyota Sienna XLE Auto Access Seat 7-Passenger FWD,"101,408 miles","$13,928",Napleton Honda of Morton Grove
https://www.truecar.com/used-cars-for-sale/listing/4T1BE32K94U356113/2004-toyota-camry/?position=8&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2004 Toyota Camry LE I4 Automatic,"247,769 miles","$2,483",Gregory Hyundai
https://www.truecar.com/used-cars-for-sale/listing/WDDDJ72X97A095069/2007-mercedes-benz-cls/?position=9&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2007 Mercedes-Benz CLS 550,"121,307 miles","$7,750",Zone Motors
https://www.truecar.com/used-cars-for-sale/listing/1FMCU9J91EUC65735/2014-ford-escape/?position=10&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2014 Ford Escape Titanium 4WD,"62,710 miles","$10,495",Napleton Lincoln of Schaumburg
https://www.truecar.com/used-cars-for-sale/listing/1C4RJXN67RW100729/2024-jeep-wrangler/?position=11&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2024 Jeep Wrangler Unlimited Willys 4xe,"24,256 miles","$38,994",Marino Chrysler Jeep Dodge CPO PHEV PHEV
https://www.truecar.com/used-cars-for-sale/listing/1C4RJYD65RC107042/2024-jeep-grand-cherokee/?position=12&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2024 Jeep Grand Cherokee Overland 4xe 4WD,"7,682 miles","$46,273",Heritage Cadillac PHEV PHEV
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB8JF064949/2018-tesla-model-3/?position=13&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Tesla Model 3 Performance Dual Motor,"28,403 miles","$22,939",Genesis of Highland Park EV EV
https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EB7JFD53757/2018-ford-f-150/?position=14&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Ford F-150 XLT SuperCrew 5.5' Box 4WD,"78,006 miles","$21,495",Exclusive Autohaus
https://www.truecar.com/used-cars-for-sale/listing/WDBSK75F63F048885/2003-mercedes-benz-sl/?position=15&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2003 Mercedes-Benz SL 500,"48,644 miles","$12,995",Moto Zone Inc
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB5JF099738/2018-tesla-model-3/?position=16&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Tesla Model 3 Performance Dual Motor,"41,538 miles","$21,498",Napleton Cadillac Northbrook EV EV
https://www.truecar.com/used-cars-for-sale/listing/1C4JJXP60NW239511/2022-jeep-wrangler/?position=17&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Jeep Wrangler Unlimited Sahara High Altitude 4xe,"25,825 miles","$35,888",McGrath Arlington Kia PHEV PHEV
https://www.truecar.com/used-cars-for-sale/listing/1FTFW1EF3DFB48190/2013-ford-f-150/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2013 Ford F-150 XLT SuperCrew 6.5' Box 4WD,"176,892 miles","$7,994",Audi Exchange St. Charles
https://www.truecar.com/used-cars-for-sale/listing/1C4JJXP60NW279832/2022-jeep-wrangler/?position=19&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Jeep Wrangler Unlimited Sahara 4xe,"39,320 miles","$29,390",Bettenhausen Chrysler Dodge Jeep Ram of Lockport PHEV PHEV
https://www.truecar.com/used-cars-for-sale/listing/1G1ZB5ST5KF114445/2019-chevrolet-malibu/?position=20&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2019 Chevrolet Malibu LS with 1LS,"83,732 miles","$10,990",Auto Gallery Chicago
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1CG3NR226365/2022-chrysler-voyager/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Chrysler Voyager LX FWD,"50,331 miles","$18,995",Napleton's Arlington Heights Chrysler Dodge Jeep Ram
https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L39JG233961/2018-kia-optima/?position=22&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Kia Optima LX,"90,660 miles","$9,995",Highend Motors
https://www.truecar.com/used-cars-for-sale/listing/1FADP3R44GL239683/2016-ford-focus-electric/?position=23&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&zipcode=60162,Used 2016 Ford Focus Electric Electric Hatchback,"8,912 miles","$13,998",CarMax Schaumburg EV EV
https://www.truecar.com/used-cars-for-sale/listing/1VWBT7A39FC092232/2015-volkswagen-passat/?position=24&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2015 Volkswagen Passat 1.8T Sport Manual (PZEV),"72,868 miles","$11,995",Moto Zone Inc
https://www.truecar.com/used-cars-for-sale/listing/1FMSK8DH8NGA22999/2022-ford-explorer/?position=25&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Ford Explorer XLT 4WD,"110,071 miles","$20,728",Napleton Honda of Morton Grove
https://www.truecar.com/used-cars-for-sale/listing/ML32F3FJ6JHF00858/2018-mitsubishi-mirage/?position=26&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2018 Mitsubishi Mirage G4 ES Sedan CVT,"85,184 miles","$6,550",Chicago Fine Motors
https://www.truecar.com/used-cars-for-sale/listing/1FTFW1E89MFA65350/2021-ford-f-150/?position=27&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2021 Ford F-150 XLT SuperCrew 5.5' Box 4WD,"33,488 miles","$29,995",Highend Motors
https://www.truecar.com/used-cars-for-sale/listing/3FMCR9D99NRD06097/2022-ford-bronco-sport/?position=28&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2022 Ford Bronco Sport Badlands,"33,911 miles","$27,000",Roesch Ford
https://www.truecar.com/used-cars-for-sale/listing/3N1BC1CP4CK240604/2012-nissan-versa/?position=29&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2012 Nissan Versa 1.8 S Hatchback Manual,"113,473 miles","$4,777",Revved Motors
https://www.truecar.com/used-cars-for-sale/listing/WBA7U2C09MCF45239/2021-bmw-7-series/?position=30&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2021 BMW 750i xDrive,"31,560 miles","$47,795",Woodfield Lexus
https://www.truecar.com/used-cars-for-sale/listing/2HGFG11609H539808/2009-honda-civic/?position=31&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2009 Honda Civic LX Coupe Manual,"50,579 miles","$8,941",McGrath Evanston Subaru
https://www.truecar.com/used-cars-for-sale/listing/WDDHF8JB2GB169019/2016-mercedes-benz-e-class/?position=32&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace,Used 2016 Mercedes-Benz E 350 4MATIC Luxury Sedan,"97,118 miles","$12,895",Jidd Motors Mitsubishi
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1CG3NR226365/2022-chrysler-voyager/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&sponsored=true,Used 2022 Chrysler Voyager LX FWD,"50,331 miles","$18,995",Napleton's Arlington Heights Chrysler Dodge Jeep Ram
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1CG8NR218813/2022-chrysler-voyager/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&sponsored=true,Used 2022 Chrysler Voyager LX FWD,"51,353 miles","$18,995",Napleton's Arlington Heights Chrysler Dodge Jeep Ram
https://www.truecar.com/used-cars-for-sale/listing/WDDNG8GB2BA369842/2011-mercedes-benz-s-class/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&sponsored=true,Used 2011 Mercedes-Benz S 550 4MATIC Sedan,"56,506 miles","$17,449",Autos of Chicago
https://www.truecar.com/used-cars-for-sale/listing/1FMCU9H6XNUB92764/2022-ford-escape/?position=3&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F&sourceType=marketplace&zipcode=60162,Used 2022 Ford Escape SEL AWD,"7,152 miles","$21,998",CarMax Oak Lawn
